cohort_id,covariate_id,mean,sd,database_id
23,135772212,0.0193,0.1391,CMSDESynPUF1k
23,4168666212,0.0205,0.1431,CMSDESynPUF1k
23,4193183212,-0.0057,NA,CMSDESynPUF1k
23,435093212,0.017,0.1306,CMSDESynPUF1k
23,4179141212,0.0818,0.2862,CMSDESynPUF1k
23,23325212,0.0068,0.0826,CMSDESynPUF1k
23,80189212,0.008,0.0892,CMSDESynPUF1k
23,36713504212,0.0114,0.1067,CMSDESynPUF1k
23,4206315212,-0.0057,NA,CMSDESynPUF1k
23,4291649212,0.0239,0.1546,CMSDESynPUF1k
23,4174044212,0.008,0.0892,CMSDESynPUF1k
23,4049466212,0.0068,0.0826,CMSDESynPUF1k
23,4200859212,-0.0057,NA,CMSDESynPUF1k
23,4022830212,0.0091,0.0954,CMSDESynPUF1k
23,438720212,0.0375,0.1938,CMSDESynPUF1k
23,4150547212,0.025,0.1582,CMSDESynPUF1k
23,198185212,0.0261,0.1618,CMSDESynPUF1k
23,40484648212,-0.0057,NA,CMSDESynPUF1k
23,4112735212,0.0227,0.1508,CMSDESynPUF1k
23,4079147212,0.0284,0.1686,CMSDESynPUF1k
23,4129730212,-0.0057,NA,CMSDESynPUF1k
23,257004212,0.0136,0.1168,CMSDESynPUF1k
23,436785212,-0.0057,NA,CMSDESynPUF1k
23,437833212,0.0159,0.1262,CMSDESynPUF1k
23,4231363212,0.0352,0.1878,CMSDESynPUF1k
23,444097212,0.0125,0.1119,CMSDESynPUF1k
23,444247212,0.0295,0.172,CMSDESynPUF1k
23,4083695212,-0.0057,NA,CMSDESynPUF1k
23,4145627212,0.0295,0.172,CMSDESynPUF1k
23,4267297212,-0.0057,NA,CMSDESynPUF1k
23,201070212,0.0068,0.0826,CMSDESynPUF1k
23,192956212,0.017,0.1306,CMSDESynPUF1k
23,36683531212,0.0193,0.1391,CMSDESynPUF1k
23,197500212,0.0125,0.1119,CMSDESynPUF1k
23,195482212,0.0193,0.1391,CMSDESynPUF1k
23,319038212,-0.0057,NA,CMSDESynPUF1k
23,434300212,0.0125,0.1119,CMSDESynPUF1k
